category,day_impact,wait_or_extra_condition_weeks_over,extra_category,next_category,option_text,text_badge,full_text,image_id
confidentiality,4,,,time_off,You are in a relationship,Confidentiality issue with sexual partner,You do not want your sexual partner to find out that you're getting an abortion… so it takes 4 days to plan.  Add 4 days.,1
confidentiality,2,12,,time_off,You have a close family,Family function causes confidentiality issue,You have no confidentiality problem if you are under 12 weeks. Add 2 days of planning to get out of family function if you are over 12 weeks. Add the appropriate time.,1
confidentiality,6,12,,time_off,You are married,Confidentiality issue if past 12 weeks,You do not want your sexual partner to find out that you're getting an abortion… so it takes 2 days to plan if you are under 12 weeks and 6 days to plan if you are over 12 weeks.,1
time_off,4,,,health,You work in tech,Boss denies time off,Your boss is pro-life and finds out you want time off for an abortion and won't give it to you. You need a weekend appointment or a clinic that can see you after 6:00pm. Add 4 days.,1
time_off,3,,,health,You work as a vet,Need weekend appointment,You cannot take time off work Monday through Friday. You need a weekend appointment. Add 3 days.,1
time_off,,,,health,You work freelance,No issue getting time off,You have no problem getting time off because you are self employed. No wait time added.,1
time_off,7,,,health,You are studying for a qualification,Reschedule due to class test,You're taking a class and have a test this week. Add 7 days to reschedule your appointment.,1
time_off,12,12,,health,You are an ambulance driver,Time off complicated over 12 weeks,You have no problem if you're under 12 weeks… but if you're over 12 weeks pregnant it becomes more complicated to get time off. You need to give 2 weeks notice before getting multiple days off. Add 2 weeks.,1
health,17,,,final,You take statins,Wait due to high blood pressure,You have high blood pressure and stopped taking your medication. It takes 17 days to get your blood pressure under control.,1
health,3,,,final,You previously had abdominal surgery,Ultrasound report required,You have a condition that requires a formal ultrasound to be sure the abortion can be done. It takes 3 days to get the report. Add 3 days.,1
health,5,,,final,You are on Warfarin,Medication requires medical clearance,You have had blood clots in your arm and are on blood thinning medication. It takes 5 days to get medical clearance from your primary care doctor. Add 5 days.,1
health,,,,final,You have diabetes,No health conditions,You have no health conditions that complicate an abortion. No wait time added.,1
health,7,12,,final,You have anemia,Iron level causes delay over 12 weeks,You have no added health risks for a procedure under 12 weeks… however if you're over 12 weeks your hemoglobin has dropped and it will take 7 days to bring your iron level back up. Add the appropriate time.,1
final,,,,end,Travel to clinic,Harassed outside clinic,You make it to the clinic. There are several protestors that harass you when you drive up to the clinic. They have ugly signs and shout at you about killing babies. You decide to cross the picket line and go into the clinic.,1
final,,,,end,Depart for clinic,Make it to the clinic,You make it to the clinic.,1
final,2,,,end,Wait for ride,Support person backs out,Your support person backs out at the last minute. Add 2 days to find a new support person.,1
final,7,,,end,Leave for clinic,Reschedule due to unavaiable doctor,Doctor cannot make it to the clinic because of a terrible accident on the freeway. Add 7 days for rescheduling.,1
final,4,,,end,Drive to clinic,Car break down,Your cars breaks down on the way to the clinic. Add 4 days for rescheduling.,1
resource_agency,5,,,,Contact ACCESS fund,Have to borrow money,ACCESS has no funds and you have to borrow money from friends. Add 5 days.,1
resource_agency,3,,,,Contact Make a Difference Fund,Make a Difference Fund covers costs,Make a Difference Fund can pay the entire cost… but add 3 days.,1
resource_agency,4,,,,Search for a fund,Wait to make up funds,ACCESS can pay for half of your expenses and it takes 4 days to make up the rest of the funds. Add 4 days.,1
